EfficientNet-B0 SLAM (RGB+Depth) Execution Log
Frame 560, Loss: 0.0006, Frame Time: 0.1203s, Running Time: 84.90s, Avg Frame Time: 0.1312s
Frame 570, Loss: 0.0021, Frame Time: 0.1362s, Running Time: 86.38s, Avg Frame Time: 0.1279s
Frame 580, Loss: 0.0004, Frame Time: 0.1375s, Running Time: 87.87s, Avg Frame Time: 0.1292s
Frame 590, Loss: 0.0018, Frame Time: 0.1540s, Running Time: 89.63s, Avg Frame Time: 0.1543s
Frame 600, Loss: 0.0006, Frame Time: 0.1313s, Running Time: 91.15s, Avg Frame Time: 0.1315s
Frame 610, Loss: 0.0004, Frame Time: 0.1092s, Running Time: 92.64s, Avg Frame Time: 0.1301s
Frame 620, Loss: 0.0013, Frame Time: 0.1366s, Running Time: 94.14s, Avg Frame Time: 0.1302s
Frame 630, Loss: 0.0000, Frame Time: 0.1772s, Running Time: 96.53s, Avg Frame Time: 0.2130s
Frame 640, Loss: 0.0031, Frame Time: 0.1689s, Running Time: 98.55s, Avg Frame Time: 0.1753s
Frame 650, Loss: 0.0007, Frame Time: 0.1767s, Running Time: 100.68s, Avg Frame Time: 0.1860s
Frame 660, Loss: 0.0035, Frame Time: 0.1642s, Running Time: 102.74s, Avg Frame Time: 0.1778s
Frame 670, Loss: 0.0015, Frame Time: 0.1844s, Running Time: 104.78s, Avg Frame Time: 0.1769s
Frame 680, Loss: 0.0013, Frame Time: 0.1626s, Running Time: 106.78s, Avg Frame Time: 0.1715s
Frame 690, Loss: 0.0002, Frame Time: 0.1644s, Running Time: 108.96s, Avg Frame Time: 0.1896s
Frame 700, Loss: 0.0004, Frame Time: 0.3169s, Running Time: 111.08s, Avg Frame Time: 0.1852s
Frame 710, Loss: 0.0004, Frame Time: 0.1644s, Running Time: 113.28s, Avg Frame Time: 0.1931s
Frame 720, Loss: 0.0009, Frame Time: 0.1575s, Running Time: 115.43s, Avg Frame Time: 0.1853s
Frame 730, Loss: 0.0035, Frame Time: 0.1988s, Running Time: 117.47s, Avg Frame Time: 0.1765s
Frame 740, Loss: 0.0019, Frame Time: 0.1845s, Running Time: 119.51s, Avg Frame Time: 0.1765s
Frame 750, Loss: 0.0021, Frame Time: 0.1809s, Running Time: 121.59s, Avg Frame Time: 0.1792s
Frame 760, Loss: 0.0021, Frame Time: 0.2293s, Running Time: 123.85s, Avg Frame Time: 0.1951s
