EfficientNet-B0 SLAM (RGB+Depth) Execution Log
Frame 560, Loss: 0.0014, Frame Time: 0.3763s, Running Time: 215.06s, Avg Frame Time: 0.3069s
Frame 570, Loss: 0.0011, Frame Time: 0.2223s, Running Time: 218.94s, Avg Frame Time: 0.3474s
Frame 580, Loss: 0.0097, Frame Time: 0.2268s, Running Time: 222.42s, Avg Frame Time: 0.3093s
Frame 590, Loss: 0.0026, Frame Time: 0.4632s, Running Time: 225.74s, Avg Frame Time: 0.2919s
Frame 600, Loss: 0.0012, Frame Time: 0.3007s, Running Time: 229.68s, Avg Frame Time: 0.3520s
Frame 610, Loss: 0.0011, Frame Time: 0.7044s, Running Time: 235.18s, Avg Frame Time: 0.4955s
Frame 620, Loss: 0.0006, Frame Time: 0.5942s, Running Time: 239.47s, Avg Frame Time: 0.3827s
Frame 630, Loss: 0.0064, Frame Time: 0.2567s, Running Time: 243.33s, Avg Frame Time: 0.3449s
Frame 640, Loss: 0.0006, Frame Time: 0.5611s, Running Time: 246.63s, Avg Frame Time: 0.2943s
Frame 650, Loss: 0.0016, Frame Time: 0.2257s, Running Time: 250.13s, Avg Frame Time: 0.3093s
Frame 660, Loss: 0.0003, Frame Time: 0.2346s, Running Time: 253.27s, Avg Frame Time: 0.2774s
Frame 670, Loss: 0.0150, Frame Time: 0.7378s, Running Time: 256.65s, Avg Frame Time: 0.2946s
Frame 680, Loss: 0.0002, Frame Time: 0.2457s, Running Time: 260.27s, Avg Frame Time: 0.3230s
Frame 690, Loss: 0.0026, Frame Time: 0.2365s, Running Time: 263.13s, Avg Frame Time: 0.2484s
Frame 700, Loss: 0.0001, Frame Time: 0.2587s, Running Time: 265.84s, Avg Frame Time: 0.2342s
Frame 710, Loss: 0.0001, Frame Time: 0.2714s, Running Time: 269.44s, Avg Frame Time: 0.3188s
Frame 720, Loss: 0.0049, Frame Time: 0.3063s, Running Time: 273.94s, Avg Frame Time: 0.4077s
Frame 730, Loss: 0.0020, Frame Time: 0.2852s, Running Time: 277.29s, Avg Frame Time: 0.2938s
Frame 740, Loss: 0.0023, Frame Time: 0.1870s, Running Time: 279.88s, Avg Frame Time: 0.2262s
Frame 750, Loss: 0.0012, Frame Time: 0.2105s, Running Time: 282.73s, Avg Frame Time: 0.2521s
Frame 760, Loss: 0.0002, Frame Time: 0.1993s, Running Time: 284.96s, Avg Frame Time: 0.1928s
Frame 770, Loss: 0.0013, Frame Time: 0.2456s, Running Time: 287.88s, Avg Frame Time: 0.2593s
Frame 780, Loss: 0.0007, Frame Time: 0.1789s, Running Time: 290.51s, Avg Frame Time: 0.2306s
Frame 790, Loss: 0.0002, Frame Time: 0.2480s, Running Time: 292.99s, Avg Frame Time: 0.2159s

Final Stats:
Total runtime: 294.56 seconds
Frames processed: 798
Average frame processing time: 0.3298 seconds
Average forward pass time: 0.1131 seconds
Average backward pass time: 0.2155 seconds
Average optimizer time: 0.0010 seconds
Average data loading time: 0.0386 seconds
